===================================================

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:15:59 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 250; Y: 436; ExitCode-0

Tue Mar 30 21:16:00 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 193; Y: 436; ExitCode-0

Tue Mar 30 21:16:00 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 193; Y: 436; ExitCode-0

Tue Mar 30 21:16:00 2021: BonusList-<Group(1 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 352; Y: 436; ExitCode-0

Tue Mar 30 21:16:05 2021: BonusList-<Group(3 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 352; Y: 436; ExitCode-0

Tue Mar 30 21:16:06 2021: BonusList-<Group(3 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 130; Y: 436; ExitCode-0

Tue Mar 30 21:16:06 2021: BonusList-<Group(3 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 130; Y: 436; ExitCode-0

Tue Mar 30 21:16:07 2021: BonusList-<Group(2 sprites)>; PlayerList-<Group(1 sprites)>; PlayerCoords-X: 328; Y: 436; ExitCode-0

